R_over_R0,f_R,f_RR,m_s2_over_R0
1.0,1.0,1e-06,333333.0
1.007956283668587,1.0000000079409304,1e-06,333332.9999948822
1.0259186531483113,1.0000000258956216,1e-06,333332.9999923228
1.0447152150957806,1.0000000447076303,1e-06,333332.9999974717
1.064377792117828,1.0000000643910854,1e-06,333333.00000443106
1.0849394343524137,1.0000000849580866,1e-06,333333.0000062174
1.1064344755699937,1.000000106423657,1e-06,333332.9999963938
1.1288985913231526,1.0000001288806795,1e-06,333332.9999940294
1.1523688592131744,1.0000001523698874,1e-06,333333.0000003427
1.1768838213434452,1.0000001769005304,1e-06,333333.00000556966
1.202483549035267,1.000000202479551,1e-06,333332.9999986673
1.2292097098926673,1.0000002291947812,1e-06,333332.99999502377
1.257105637298814,1.0000002571102624,1e-06,333333.0000015417
1.286216402443692,1.000000286229237,1e-06,333333.00000427815
1.3165888889797042,1.000000316575285,1e-06,333332.99999546533
1.3482718704140773,1.0000003482699333,1e-06,333332.9999993543
1.38131609034419,1.0000003813283185,1e-06,333333.000004076
1.4157743456639555,1.0000004157628037,1e-06,333332.9999961527
1.4517015728532237,1.0000004517019832,1e-06,333333.0000001368
1.489154937491051,1.0000004891634016,1e-06,333333.0000028214
1.5281939271210387,1.0000005281841278,1.0020091200145738e-06,332664.6357953745
1.5688804476179445,1.0000005688883278,1.0077765638171353e-06,330760.8133624729
1.611278923199332,1.0000006112713822,1.009999999999999e-06,330032.66794708604
1.6554564002425778,1.0000006554584668,1.009999999999999e-06,330032.6678044566
1.7014826550665068,1.0000007014814285,1.009999999999999e-06,330032.6676514679
1.7494303058487843,1.0000007494297307,1.009999999999999e-06,330032.6674934398
1.7993749288545882,1.0000007993754028,1.009999999999999e-06,330032.66732895235
1.8513951791615335,1.0000008513953997,1.009999999999999e-06,330032.6671571847
1.9055729160688843,1.0000009055549364,1.009999999999999e-06,330032.6669723736
1.9619933333996982,1.0000009612937832,1.009999999999999e-06,330032.6665612269
2.020745094878644,1.0000010223169795,1.009999999999999e-06,330032.6671169751
2.081920474838844,1.0000010906181258,1.009999999999999e-06,330032.66926681425
2.14561550444306,1.0000011562462858,1.009999999999999e-06,330032.66969459644
2.211930123675077,1.0000012219260037,1.009999999999999e-06,330032.66926619795
2.2809683393340343,1.0000012909728693,1.009999999999999e-06,330032.6690412038
2.3528383892839955,1.000001362838889,1.009999999999999e-06,330032.6688026788
2.4276529132222544,1.000001437649037,1.0119130374783057e-06,329408.7350850517
2.505529130230289,1.0000015155272741,1.020000000000001e-06,326797.045714889
2.5865890233972175,1.0000015965921774,1.020000000000001e-06,326797.04518672306
2.6709595318015817,1.000001680264146,1.020000000000001e-06,326797.0444070009
2.758772750166116,1.000001774892911,1.020000000000001e-06,326797.04606036114
2.850166136471095,1.0000018707508052,1.020000000000001e-06,326797.04692200816
2.945282727912292,1.0000019652819838,1.020000000000001e-06,326797.0461090197
3.044271365477403,1.0000020642705396,1.020000000000001e-06,326797.04546200845
3.147286927542803,1.0000021667174723,1.020000000000001e-06,326797.0446028775
3.2544905728405102,1.0000022800738033,1.020000000000001e-06,326797.04591288173
3.3660499931815564,1.000002396407109,1.020000000000001e-06,326797.0467438284
3.4821396763339054,1.000002512141606,1.020000000000001e-06,326797.04586899845
3.6029411794690573,1.0000026330930594,1.0299999999999995e-06,323624.24662253883
3.728643413606213,1.0000027693347102,1.0299999999999995e-06,323624.2488129433
3.85944293950577,1.0000028994436743,1.0299999999999995e-06,323624.2473195622
3.995544275470296,1.00000303535259,1.0299999999999995e-06,323624.245935918
4.137160217538689,1.0000031878544755,1.0299999999999995e-06,323624.24808396504
4.2845121725903965,1.0000033339881462,1.0299999999999995e-06,323624.2462590968
4.437830504851463,1.00000349852253,1.0332374427571826e-06,322610.2319461058
4.597354896379374,1.0000036572366202,1.0400000000000008e-06,320512.4602524126
4.763334722076678,1.0000038330324512,1.0400000000000008e-06,320512.4612706216
4.936029439798904,1.000004016728083,1.0400000000000008e-06,320512.4625825208
5.115708996243111,1.0000041968043931,1.0400000000000008e-06,320512.46040610137
5.302654249140746,1.0000043927906768,1.0400000000000008e-06,320512.46090713365
5.497157406531359,1.0000045970342324,1.0400000000000008e-06,320512.4615354259
5.699522483711727,1.0000048095002405,1.0500000000000005e-06,317459.9444449626
5.910065778630295,1.0000050300211354,1.0500000000000005e-06,317459.94427049754
6.129116366463818,1.0000052623459563,1.0500000000000005e-06,317459.94500754634
